id;nom;id depto
1;Abejorral;2
2;Abrego;22
3;Abriaquí;2
4;Acacias;20
5;Acandí;12
6;Acevedo;17
7;Achí;5
8;Agrado;17
9;Agua De Dios;14
10;Aguachica;11
11;Aguada;27
12;Aguadas;7
13;Aguazul;9
14;Agustín Codazzi;11
15;Aipe;17
16;Alban;21
17;Albán;14
18;Albania;8
19;Albania;18
20;Albania;27
21;Alcala;30
22;Aldana;21
23;Alejandría;2
24;Algarrobo;19
25;Algeciras;17
26;Almaguer;10
27;Almeida;6
28;Alpujarra;29
29;Altamira;17
30;Alto Baudó;12
31;Altos Del Rosario;5
32;Alvarado;29
33;Amaga;2
34;Amalfi;2
35;Ambalema;29
36;Anapoima;14
37;Ancuya;21
38;Andalucía;30
39;Andes;2
40;Angelopolis;2
41;Angostura;2
42;Anolaima;14
43;Anorí;2
44;Anserma;7
45;Ansermanuevo;30
46;Anza;2
47;Anzoátegui;29
48;Apartadó;2
49;Apía;25
50;Apulo;14
51;Aquitania;6
52;Aracataca;19
53;Aranzazu;7
54;Aratoca;27
55;Arauca;3
56;Arauquita;3
57;Arbeláez;14
58;Arboleda;21
59;Arboledas;22
60;Arboletes;2
61;Arcabuco;6
62;Arenal;5
63;Argelia;2
64;Argelia;10
65;Argelia;30
66;Ariguaní;19
67;Arjona;5
68;Armenia;2
69;Armenia;24
70;Armero;29
71;Arroyohondo;5
72;Astrea;11
73;Ataco;29
74;Atrato;12
75;Ayapel;13
76;Bagadó;12
77;Bahía Solano;12
78;Bajo Baudó;12
79;Balboa;10
80;Balboa;25
81;Baranoa;4
82;Baraya;17
83;Barbacoas;21
84;Barbosa;2
85;Barbosa;27
86;Barichara;27
87;Barranca De Upia;20
88;Barrancabermeja;27
89;Barrancas;18
90;Barranco De Loba;5
91;Barranco Mina;15
92;Barranquilla;4
93;Becerril;11
94;Belalcázar;7
95;Belen;21
96;Belén;6
97;Belén De Bajira;12
98;Belén De Los Andaquies;8
99;Belén De Umbría;25
100;Bello;2
101;Belmira;2
102;Beltrán;14
103;Berbeo;6
104;Betania;2
105;Betéitiva;6
106;Betulia;2
107;Betulia;27
108;Bituima;14
109;Boavita;6
110;Bochalema;22
111;Bogotá;14
112;Bojacá;14
113;Bojaya;12
114;Bolívar;10
115;Bolívar;27
116;Bolívar;30
117;Bosconia;11
118;Boyacá;6
119;Briceño;2
120;Briceño;6
121;Bucaramanga;27
122;Bucarasica;22
123;Buenaventura;30
124;Buenavista;6
125;Buenavista;13
126;Buenavista;24
127;Buenavista;28
128;Buenos Aires;10
129;Buesaco;21
130;Buga;30
131;Bugalagrande;30
132;Buriticá;2
133;Busbanzá;6
134;Cabrera;14
135;Cabrera;27
136;Cabuyaro;20
137;Cacahual;15
138;Cáceres;2
139;Cachipay;14
140;Cachirá;22
141;Cácota;22
142;Caicedo;2
143;Caicedonia;30
144;Caimito;28
145;Cajamarca;29
146;Cajibío;10
147;Cajicá;14
148;Calamar;5
149;Calamar;16
150;Calarca;24
151;Caldas;2
152;Caldas;6
153;Caldono;10
154;Cali;30
155;California;27
156;Calima;30
157;Caloto;10
158;Campamento;2
159;Campo De La Cruz;4
160;Campoalegre;17
161;Campohermoso;6
162;Canalete;13
163;Candelaria;4
164;Candelaria;30
165;Cantagallo;5
166;Canton De San Pablo;12
167;Cañasgordas;2
168;Caparrapí;14
169;Capitanejo;27
170;Caqueza;14
171;Caracolí;2
172;Caramanta;2
173;Carcasí;27
174;Carepa;2
175;Carmen De Apicalá;29
176;Carmen De Bolívar;5
177;Carmen De Carupa;14
178;Carmen De Viboral;2
179;Carmén Del Darién;12
180;Carolina;2
181;Cartagena;5
182;Cartagena Del Chairá;8
183;Cartago;30
184;Caruru;31
185;Casabianca;29
186;Castilla La Nueva;20
187;Caucasia;2
188;Cepitá;27
189;Cereté;13
190;Cerinza;6
191;Cerrito;27
192;Cerro San Antonio;19
193;Certegui;12
194;Chachagui;21
195;Chaguaní;14
196;Chalán;28
197;Chameza;9
198;Chaparral;29
199;Charalá;27
200;Charta;27
201;Chía;14
202;Chibolo;19
203;Chigorodó;2
204;Chima;27
205;Chimá;13
206;Chimichagua;11
207;Chinácota;22
208;Chinavita;6
209;Chinchina;7
210;Chinú;13
211;Chipaque;14
212;Chipatá;27
213;Chiquinquirá;6
214;Chíquiza;6
