9:07:46 p. m.  [main] 	Initializing Control Panel
9:07:46 p. m.  [main] 	Windows Version:  Enterprise  64-bit
9:07:46 p. m.  [main] 	XAMPP Version: 8.2.12
9:07:46 p. m.  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
9:07:46 p. m.  [main] 	You are not running with administrator rights! This will work for
9:07:46 p. m.  [main] 	most application stuff but whenever you do something with services
9:07:46 p. m.  [main] 	there will be a security dialogue or things will break! So think 
9:07:46 p. m.  [main] 	about running this application with administrator rights!
9:07:46 p. m.  [main] 	XAMPP Installation Directory: "d:\construempleo\xampp\"
9:07:46 p. m.  [main] 	Checking for prerequisites
9:07:48 p. m.  [main] 	All prerequisites found
9:07:48 p. m.  [main] 	Initializing Modules
9:07:48 p. m.  [mysql] 	Problem detected!
9:07:48 p. m.  [mysql] 	Port 3306 in use by "Unable to open process"!
9:07:48 p. m.  [mysql] 	MySQL WILL NOT start without the configured ports free!
9:07:48 p. m.  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
9:07:48 p. m.  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
9:07:48 p. m.  [main] 	Starting Check-Timer
9:07:48 p. m.  [main] 	Control Panel Ready
9:07:54 p. m.  [Apache] 	Attempting to start Apache app...
9:07:54 p. m.  [Apache] 	Status change detected: running
12:36:09 a. m.  [main] 	Deinitializing Modules
12:36:09 a. m.  [main] 	Deinitializing Control Panel

